id,album_title,album_rd,eng_track_title,raw_track_title,featured,performed_by,lang,spotify_track_duration_ms,spotify_track_id,spotify_track_danceability,spotify_track_energy,spotify_track_key,spotify_track_loudness,spotify_track_mode,spotify_track_speechiness,spotify_track_acousticness,spotify_track_instrumentalness,spotify_track_liveness,spotify_track_valence,spotify_track_tempo,spotify_track_time_signature
FEAT-42,My Universe,2021-09-24,My Universe,,BTS,Coldplay,ENG,228000,3FeVmId7tL5YN8B7R3imoM,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.00E+00,0.2,0.443,104.988,4
FEAT-43,My Universe,2021-09-24,My Universe - Instrumental,,BTS,Coldplay,NA,228000,2sp32rIevQhpbo0Z4aQzoe,0.617,0.594,1,-7.928,0,0.0366,0.0019,9.11E-01,0.144,0.177,105.013,4
FEAT-44,My Universe (SUGA's Remix),2021-09-26,My Universe - SUGA's Remix,,BTS; SUGA,Coldplay,ENG,188234,6BeOJPXMstvXolxKbL09kR,0.558,0.832,4,-5.904,1,0.0435,0.00119,0.00E+00,0.0637,0.5,107.043,4
FEAT-45,My Universe,2021-09-27,My Universe - Acoustic Version,,BTS,Coldplay,ENG,223268,6nhc3daOpKaZBRj2ZFWfc7,0.501,0.54,4,-6.918,1,0.0314,0.588,0.00E+00,0.313,0.449,105.031,4
FEAT-46,My Universe,2021-09-27,My Universe - Supernova 7 Mix,,BTS,Coldplay,ENG,279317,6Lgbf4b6c9fwz24eFEWONX,0.665,0.712,6,-6.841,0,0.0397,0.00115,1.87E-04,0.27,0.489,105.017,4
FEAT-47,My Universe,2021-09-27,My Universe,,BTS,Coldplay,ENG,226198,7btzRuXC6Ed3rIyomBRkO2,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.00E+00,0.328,0.47,105.006,4
FEAT-48,My Universe (Galantis Remix),2021-10-11,My Universe - Galantis Remix,,BTS,Coldplay; Galantis,ENG,224908,1DlczmjByrS4qxRVfGjpqN,0.596,0.915,4,-4.711,1,0.0682,0.0949,1.70E-06,0.12,0.629,120.024,4
FEAT-49,My Universe (David Guetta Remix),2021-10-13,My Universe - David Guetta Remix,,BTS,Coldplay; David Guetta,ENG,199135,5FvxRvrQ8qzKjBJ6ST9aiu,0.436,0.948,1,-5.515,0,0.0558,0.0974,3.75E-03,0.14,0.696,122.609,4
FEAT-50,Savage Love (Laxed - Siren Beat) [BTS Remix],2020-10-02,Savage Love (Laxed – Siren Beat) [BTS Remix],,BTS,Jawsh 685; Jason Derulo,ENG,184905,4TgxFMOn5yoESW6zCidCXL,0.758,0.598,0,-5.695,0,0.0868,0.16,0.00E+00,0.295,0.658,149.836,4
FEAT-51,Savage Love (Laxed - Siren Beat) [BTS Remix],2020-10-02,Savage Love (Laxed – Siren Beat) [BTS Remix] (Instrumental),,BTS,Jawsh 685; Jason Derulo,ENG,184905,6AAZ5ZZYtw5VLSbx6q16Be,0.782,0.404,0,-8.549,0,0.171,0.0491,7.78E-01,0.286,0.311,149.98,4
FEAT-52,Waste It On Me (Slushii Remix),2018-12-07,Waste It On Me - Slushii Remix,,BTS,Steve Aoki; Slushii,ENG,188235,1euVAbcwOwn6N7z11ZWzXX,0.693,0.896,7,0.126,1,0.0742,0.26,0.00E+00,0.0879,0.491,102.011,4
FEAT-53,Waste It On Me (Cheat Codes Remix),2018-12-14,Waste It On Me - Cheat Codes Remix,,BTS,Steve Aoki; Cheat Codes,ENG,167381,6DO7kdLSEBAt7hH6jOgOj6,0.697,0.854,7,-4.596,1,0.137,0.017,0.00E+00,0.371,0.575,109.028,4
FEAT-54,Waste It On Me (W&W Remix),2018-12-21,Waste It On Me - W&W Remix,,BTS,Steve Aoki; W&W,ENG,199691,6gh1S7lJpnRwqB9XRRBJGY,0.373,0.914,4,-3.76,0,0.192,0.0151,1.97E-03,0.814,0.318,128.15,4
FEAT-55,The Project,2020-12-10,A Song Make to You Smile,,BTS,Lee Seung Gi; Hareem,KOR,189173,5blZcMwtCrPa7bp7lMBiTt,0.452,0.784,9,-4.527,1,0.0539,0.337,0.00E+00,0.313,0.519,146.036,4
